Sitio,S.acapulcoensis_size1,S.acapulcoensis_size2,S.acapulcoensis_size3,S.flavilatus_size1,S.flavilatus_size2,S.flavilatus_size3
T1,0,0,0,0,2,0
T2,0,0,8,0,1,1
T3,0,0,8,0,0,0
T4,0,1,4,0,1,0
T5,0,0,11,0,0,0
T6,0,0,12,0,1,2
T7,0,0,12,0,0,0
T8,0,2,6,0,0,0
T9,1,1,15,0,0,0
T10,0,2,5,0,0,0
T11,0,6,3,0,0,1
T12,4,0,6,0,0,0
T13,0,0,0,2,2,0
T14,0,1,6,0,4,2
T15,0,0,10,0,0,2
T16,0,0,5,0,3,1
T17,1,0,4,0,1,0
T18,0,0,14,0,0,0
T19,0,0,7,0,0,0
T20,2,0,6,0,0,0
T21,1,0,13,0,0,0
T22,0,0,11,0,0,0
T23,0,0,6,0,0,0
T24,1,3,5,0,0,0
T25,0,0,0,0,2,1
T26,0,0,2,0,0,0
T27,0,0,5,0,0,0
T28,0,0,6,0,0,0
T29,0,1,6,0,0,0
T30,0,1,0,0,0,0
T31,0,0,4,0,0,0
T32,0,0,0,0,2,0
T33,0,0,6,0,0,0
T34,0,1,8,0,0,0
T35,0,0,9,0,0,0
T36,0,11,0,1,0,0
