profundidad,Sitio,S.acapulcoensis_size1,S.acapulcoensis_size2,S.acapulcoensis_size3,S.flavilatus_size1,S.flavilatus_size2,S.flavilatus_size3
Shallow,T1,1,1,1,0,0,0
Shallow,T2,0,1,1,0,0,0
Shallow,T3,0,1,1,0,0,1
Shallow,T4,1,0,1,0,0,0
Shallow,T5,1,0,1,0,0,0
Shallow,T6,0,0,1,0,0,0
Shallow,T7,0,0,1,0,0,0
Shallow,T8,1,1,1,0,0,0
Shallow,T9,0,0,1,0,0,0
Shallow,T10,0,1,1,0,0,0
Shallow,T11,0,0,1,0,0,0
Shallow,T12,0,1,0,1,0,0
Intermediate,T13,0,0,1,0,0,0
Intermediate,T14,0,0,1,0,1,1
Intermediate,T15,0,0,1,0,0,0
Intermediate,T16,0,1,1,0,0,0
Intermediate,T17,1,0,1,0,1,0
Intermediate,T18,0,0,1,0,0,0
Intermediate,T19,0,0,1,0,0,0
Intermediate,T20,1,0,1,0,0,0
Intermediate,T21,0,1,1,0,0,0
Intermediate,T22,0,1,0,0,0,0
Intermediate,T23,0,0,1,0,0,0
Intermediate,T24,0,0,0,0,1,0
Deep,T25,0,0,0,0,1,0
Deep,T26,0,0,1,0,1,1
Deep,T27,0,0,1,0,0,0
Deep,T28,0,1,1,0,1,0
Deep,T29,0,0,0,1,1,0
Deep,T30,0,1,1,0,1,1
Deep,T31,0,0,1,0,0,1
Deep,T32,0,0,1,0,1,1
Deep,T33,0,0,0,0,1,1
Deep,T34,0,0,1,0,0,0
Deep,T35,0,0,1,0,0,0
Deep,T36,0,0,1,0,0,0
