Especie,Profundidad,Ocu
S. acapulcoensis,Deep,0
S. acapulcoensis,Deep,46.9
S. acapulcoensis,Deep,46.9
S. acapulcoensis,Deep,29.3125
S. acapulcoensis,Deep,0
S. acapulcoensis,Deep,41.0375
S. acapulcoensis,Deep,58.625
S. acapulcoensis,Deep,29.3125
S. acapulcoensis,Deep,0
S. acapulcoensis,Deep,11.725
S. acapulcoensis,Deep,29.3125
S. acapulcoensis,Deep,35.175
S. acapulcoensis,Intermediate,79.8875
S. acapulcoensis,Intermediate,87.15
S. acapulcoensis,Intermediate,87.15
S. acapulcoensis,Intermediate,58.1
S. acapulcoensis,Intermediate,36.3125
S. acapulcoensis,Intermediate,101.675
S. acapulcoensis,Intermediate,50.8375
S. acapulcoensis,Intermediate,58.1
S. acapulcoensis,Intermediate,50.8375
S. acapulcoensis,Intermediate,7.2625
S. acapulcoensis,Intermediate,29.05
S. acapulcoensis,Intermediate,0
S. acapulcoensis,Shallow,83.725
S. acapulcoensis,Shallow,34.475
S. acapulcoensis,Shallow,44.325
S. acapulcoensis,Shallow,49.25
S. acapulcoensis,Shallow,68.95
S. acapulcoensis,Shallow,54.175
S. acapulcoensis,Shallow,29.55
S. acapulcoensis,Shallow,44.325
S. acapulcoensis,Shallow,29.55
S. acapulcoensis,Shallow,44.325
S. acapulcoensis,Shallow,44.325
S. acapulcoensis,Shallow,54.175
S. flavilatus,Deep,11.8
S. flavilatus,Deep,11.8
S. flavilatus,Deep,0
S. flavilatus,Deep,5.9
S. flavilatus,Deep,23.6
S. flavilatus,Deep,35.4
S. flavilatus,Deep,11.8
S. flavilatus,Deep,23.6
S. flavilatus,Deep,17.7
S. flavilatus,Deep,0
S. flavilatus,Deep,0
S. flavilatus,Deep,0
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,24.7125
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,8.2375
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,0
S. flavilatus,Intermediate,16.475
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,11.9875
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,0
S. flavilatus,Shallow,11.9875
